D_km,SKR_0.0,SKR_1.0e-6,SKR_0.001
177,0.00012339467707817974,5.109488942485471e-5,0.0
178,0.00011754387860692847,4.695015062324759e-5,0.0
179,0.00011195791960003922,4.300326480830959e-5,0.0
180,0.00010662211785911205,3.925137821235577e-5,0.0
181,0.00010152777170787812,3.5598003217518734e-5,0.0
182,9.666149684339103e-5,3.2269108839957594e-5,0.0
183,9.201555064736761e-5,2.9128399523660462e-5,0.0
184,8.757999945183745e-5,2.616266060042473e-5,0.0
185,8.334377479871082e-5,2.346850213268019e-5,0.0
186,7.929799745993375e-5,2.073049818532913e-5,0.0
187,7.543513317504346e-5,1.8314499437779058e-5,0.0
188,7.174654838585177e-5,1.5985582556095828e-5,0.0
189,6.822381349629644e-5,1.3769387877242325e-5,0.0
190,6.486141818321678e-5,1.1709750754223287e-5,0.0
191,6.165005544452355e-5,9.763227318463926e-6,0.0
192,5.858299578832608e-5,7.907383695230648e-6,0.0
193,5.5655076567338246e-5,6.214043544483901e-6,0.0
194,5.2858426980558015e-5,4.606221710601358e-6,0.0
195,5.019109033431373e-5,3.1250383384789993e-6,0.0
196,4.764218733232333e-5,1.642790297364865e-6,0.0
197,4.520828582362736e-5,3.3353634558168154e-7,0.0
198,4.288543602207013e-5,0.0,0.0
199,4.066694078512621e-5,0.0,0.0
200,3.854971603200472e-5,0.0,0.0
201,3.652883419571067e-5,0.0,0.0
202,3.4599321529170684e-5,0.0,0.0
203,3.275702989281489e-5,0.0,0.0
204,3.099878750112211e-5,0.0,0.0
205,2.9320493140341622e-5,0.0,0.0
206,2.771857823440458e-5,0.0,0.0
207,2.619004736149021e-5,0.0,0.0
208,2.473041204914034e-5,0.0,0.0
209,2.3337801374011672e-5,0.0,0.0
210,2.201006523072841e-5,0.0,0.0
211,2.074184878227001e-5,0.0,0.0
212,1.9531358259133744e-5,0.0,0.0
213,1.837693680083887e-5,0.0,0.0
214,1.7275629454736635e-5,0.0,0.0
215,1.6225089043000168e-5,0.0,0.0
216,1.5220543706960432e-5,0.0,0.0
217,1.426487978733363e-5,0.0,0.0
218,1.3353552463383959e-5,0.0,0.0
219,1.2484608696144864e-5,0.0,0.0
220,1.1653485628637552e-5,0.0,0.0
221,1.0866914571051887e-5,0.0,0.0
222,1.011373047922682e-5,0.0,0.0
223,9.39510875502646e-6,0.0,0.0
224,8.710700207316434e-6,0.0,0.0
225,8.059118179989263e-6,0.0,0.0
226,7.438383275784451e-6,0.0,0.0
227,6.847273831475763e-6,0.0,0.0
228,6.2844203711099e-6,0.0,0.0
229,5.7483539159968e-6,0.0,0.0
230,5.237877701598808e-6,0.0,0.0
231,4.752287127770473e-6,0.0,0.0
232,4.290069105902774e-6,0.0,0.0
233,3.8505274176282414e-6,0.0,0.0
234,3.433159834566546e-6,0.0,0.0
235,3.035597631728216e-6,0.0,0.0
236,2.658453456415711e-6,0.0,0.0
237,2.2984553476383867e-6,0.0,0.0
238,1.9584200551960138e-6,0.0,0.0
239,1.6363736408895119e-6,0.0,0.0
240,1.3306730719231652e-6,0.0,0.0
241,1.039598318090725e-6,0.0,0.0
242,7.62954908429597e-7,0.0,0.0
243,5.011641019741468e-7,0.0,0.0
244,2.573873516091122e-7,0.0,0.0
245,2.3747974322303706e-8,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
