D_km,SKR_0.0,SKR_0.01,SKR_0.1,SKR_0.15
76,0.0301666371973113,0.027222734948728858,0.011510168090063354,0.005124282410330782
77,0.028807557703392862,0.025996856951426422,0.010991795385940193,0.004893362869151135
78,0.02750966867042903,0.024826159713039024,0.01049674381055107,0.004672840671799886
79,0.0262700977852185,0.023708146254789276,0.010023970769870574,0.004462244197671775
80,0.025086450113020527,0.022640438652661663,0.009572485775456186,0.004261126002189102
81,0.023956041667739937,0.02162078393755019,0.009141314201434735,0.004069059289139835
82,0.02287651652985257,0.02064703419176097,0.00872955014614657,0.0038856365902073618
83,0.0218455543167593,0.019717110436226006,0.008336320199742786,0.003710474563567545
84,0.020861058718124208,0.018829040179485654,0.007960785693736984,0.003543190863487179
85,0.0199208503598584,0.017980959592612023,0.007602153965909636,0.0033834335276979963
86,0.01902296487080105,0.017171010054172802,0.007259651442330351,0.003230873121075591
87,0.018165467875453045,0.016397552222507192,0.006932579613933541,0.0030851765403149493
88,0.01734662884770072,0.01565888689502277,0.006620231443196878,0.002946033865710609
89,0.016564592678364454,0.014953473834471346,0.006321936300055756,0.00281315563015199
90,0.01581777958432906,0.014279737780530962,0.006037064352330111,0.0026862606262867753
91,0.015104643627093236,0.013636461784380808,0.005765005010726651,0.0025650731078627753
92,0.014423551672949328,0.01302201180880309,0.005505199710200444,0.002449342264104655
93,0.013773075475118638,0.012435311981376842,0.005257092986425489,0.0023388160343015794
94,0.013151946328376374,0.0118749872588115,0.005020142582251972,0.002233271603472858
95,0.012558829751879457,0.011339856005369336,0.004793867349936745,0.002132473085805697
96,0.01199224229349295,0.010828846604840545,0.004577772413407796,0.002036212224712091
97,0.011451211277403589,0.010340809285639452,0.004371402005335842,0.0019442784898792143
98,0.010934663322118416,0.0098747321361022,0.004174312370743094,0.001856492990854797
99,0.010441307256718746,0.009429662291159581,0.003986100133942428,0.001772652187576401
100,0.009970162384946933,0.009004607279942603,0.0038063582212412893,0.0016925842460075334
101,0.009520273034148138,0.00859867857880115,0.003634705790046501,0.0016161237617988034
102,0.009090594192215412,0.008210993142532938,0.0034707788958870684,0.00154310212637071
103,0.008680259898325519,0.007840772036356896,0.0033142309962496085,0.0014733630181733974
104,0.008288399601926897,0.007487275058805645,0.0031647379868326906,0.0014067664199472665
105,0.007914138257109972,0.007149595445276074,0.0030219636927068124,0.0013431678354575995
106,0.0075568343450451375,0.006827191434887141,0.0028856101072097066,0.0012824332422685532
107,0.0072155247148299505,0.006519270023900431,0.002755404665431087,0.0012244316857031373
108,0.006889581737785547,0.00622520753952153,0.0026310473407169135,0.001169038814092067
109,0.006578442711415831,0.0059443571897484036,0.002512292302840347,0.0011161391056036855
110,0.00628119619640719,0.005676179586163472,0.0023988904127228,0.0010656182948835195
111,0.00599735852728105,0.005420022977486584,0.0022905860211669404,0.0010173735469361997
112,0.0057263328943614935,0.0051754299303890874,0.0021871551878728294,0.0009713011570464895
113,0.005467406570632614,0.004941845101146531,0.002088379920397054,0.0009273028091479167
114,0.005220211713006884,0.004718788552952467,0.0019940491349481667,0.0008852833564284169
115,0.004984135066716983,0.004505759125700559,0.0019039581501657523,0.000845152615662652
116,0.004758701504396092,0.0043023450365923584,0.00181793695041331,0.0008068317738245765
117,0.004543462977900996,0.004108054549980141,0.0017357769042789495,0.000770234292297224
118,0.004337937426860082,0.003922498653443738,0.0016573201925372469,0.0007352849856828154
119,0.0041416312436049095,0.0037453173264369853,0.0015823887176487856,0.0007019064364658782
120,0.00395413499769386,0.0035761025137743883,0.0015108272654986992,0.0006700314684943418
121,0.003775098267278627,0.0034145126929471174,0.0014425001547193445,0.0006395924774721224
122,0.003604125829127384,0.00326019036047614,0.0013772400668053367,0.0006105210040835412
123,0.0034408547249511388,0.003112783614418071,0.0013149148071973148,0.0005827590210409094
124,0.003284938363600419,0.0029720375941259015,0.0012553995275210483,0.0005562428986695817
125,0.003136031807688185,0.00283763627391239,0.0011985598313451558,0.0005309291023123366
126,0.002993818355152011,0.0027092586360514042,0.0011442795125514342,0.0005067422920633118
127,0.002858039760430809,0.0025867019369437876,0.0010924307421378144,0.00048365597651321614
128,0.002728378629894242,0.0024695979405816876,0.0010429378261719848,0.00046160411519753424
129,0.002604528261548725,0.0023578287635947,0.0009956600916941445,0.0004405446882211274
130,0.0024863200447846566,0.0022510521522886716,0.0009505118707855579,0.00042043303269524777
131,0.0023734079359503933,0.0021491252546749816,0.0009073902856497337,0.0004012264926282964
132,0.002265607816854568,0.002051752407338859,0.0008662169681231904,0.0003828862221330919
133,0.0021626445497597304,0.001958766161183569,0.0008268900852466127,0.0003653594330207436
134,0.002064321876672512,0.0018699654923730999,0.0007893382232380342,0.0003486397587006713
135,0.001970430933421478,0.0017851620422822637,0.0007534768033654642,0.0003326671612516995
136,0.0018807298133457027,0.001704175931493336,0.0007192307663707748,0.0003174064069692231
137,0.0017951553611686643,0.0016268353778917772,0.0006865256035184307,0.0003028400545624188
138,0.0017133983353110785,0.0015529356283836258,0.0006552876272753549,0.0002889289167282589
139,0.0016353274556391338,0.0014824387548487414,0.0006254588885247409,0.000275640090994418
140,0.0015608083395236426,0.0014150845651085388,0.0005969760070622476,0.0002629508340561082
141,0.0014896192051194082,0.0013507579119410248,0.0005697715676419556,0.00025083431085176037
142,0.0014216405783618587,0.0012893271840074474,0.0005437807413911807,0.00023926163495601425
143,0.001356727962403221,0.0012306620729826882,0.0005189825890847676,0.00022820826750607137
144,0.0012947433636142623,0.0011746057988769297,0.0004952763176614034,0.0002176539065075029
145,0.0012355549988666457,0.0011211043744657934,0.0004726489340501643,0.00020757615734358597
146,0.0011790370160299508,0.0010700118187435689,0.0004510465605694605,0.00019795060664269518
147,0.0011250692270514827,0.0010212197493510678,0.00043040381323857,0.0001887587742732884
148,0.0010735291253030023,0.0009746246627784713,0.00041070261109818533,0.00017998028164911272
149,0.0010243302810246351,0.0009301277148651563,0.0003918900582225973,0.00017159695081916146
150,0.0009773372412153257,0.0008876345112078887,0.00037391324779773797,0.00016359099895357863
151,0.0009324730150191129,0.0008470381376438515,0.000356750858693496,0.00015594544339457144
152,0.0008896344745971576,0.0008083106818963008,0.00034036115863562895,0.00014864406555950191
153,0.0008487378285593927,0.0007713038744430762,0.0003247075925905463,0.00014167137644796737
154,0.0008096665620608686,0.0007359638585122427,0.0003097562838010662,0.00013501258375027116
155,0.0007723815854431219,0.0007022156600512919,0.0002954780776660253,0.00012865356055033657
156,0.0007367741941038563,0.0006699797918502461,0.0002818425136772613,0.00012257674185910014
157,0.0007027758624797123,0.0006392115467690965,0.0002688262197244054,0.00011677721203171091
158,0.0006703141723745682,0.0006098142986872703,0.00025639247774561003,0.00011124239373210373
159,0.0006393129957906302,0.0005817822331567492,0.00024451862837365556,0.00010595327338137835
160,0.0006097202884558291,0.0005549339137989446,0.00023317668947895739,0.00010090355952644271
161,0.0005814659432136385,0.0005293628640344602,0.0002223483028565491,9.608047155797644e-5
162,0.0005544897258866952,0.0005049233745347553,0.0002120068750886391,9.146822382963325e-5
163,0.0005287341133544822,0.00048159311194676484,0.0002021342901377286,8.706817704565774e-5
164,0.0005041307482388368,0.0004593073022581378,0.00019270161158750645,8.28746463344449e-5
165,0.00048065408838824844,0.00043799878554632427,0.00018368998215013694,7.885909001969398e-5
166,0.0004582656684947402,0.0004177124597733173,0.0001750871078072757,7.50313637383636e-5
167,0.00043680785419382434,0.0003983071995944354,0.00016687390397305537,7.137290520044885e-5
168,0.00041639958305998145,0.00037977723135567516,0.00015904421955923248,6.787926223951465e-5
169,0.00039687641749023173,0.0003620832168721147,0.00015155451577171682,6.45398076041695e-5
170,0.00037830146859764023,0.0003451700975807015,0.00014440088729267929,6.135445418182844e-5
171,0.0003605270248789079,0.0003290447774578445,0.00013756320673235877,5.831297195051438e-5
172,0.00034355897945143114,0.00031364041283471337,0.0001310295545140905,5.540267856631652e-5
173,0.0003273507307109586,0.0002989315950168147,0.00012481065686084837,5.263819404623273e-5
174,0.00031186324025566796,0.00028486763908516804,0.00011887173225385802,4.998821338053264e-5
175,0.0002971450700918221,0.00027145656070009795,0.00011318689700623758,4.745877950124578e-5
176,0.000283013403299078,0.00025865339817619115,0.00010776491944025191,4.504193142421283e-5
177,0.0002696040909276299,0.00024643113569603446,0.00010258432981941773,4.273558778817717e-5
